2022-03-17 06:13:37,994 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:13:37,994 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:13:37,994 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486817.9943788, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:13:37,994 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:13:37,994 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:13:44,734 DEBUG    client.py Создан объект parser
2022-03-17 06:13:44,734 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:13:44,734 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:13:44,734 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486824.7342029, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:13:44,734 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:13:44,734 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:14:02,822 DEBUG    client.py Создан объект parser
2022-03-17 06:14:02,822 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:14:02,822 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:14:02,822 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486842.8224714, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:14:02,822 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:14:02,822 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:14:23,779 DEBUG    client.py Создан объект parser
2022-03-17 06:14:23,779 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:14:23,779 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:14:23,779 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486863.7799509, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:14:23,779 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:14:23,779 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:15:02,810 DEBUG    client.py Создан объект parser
2022-03-17 06:15:02,811 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:15:02,811 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:15:02,811 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486902.811293, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:15:02,812 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:15:02,812 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:15:22,838 DEBUG    client.py Создан объект parser
2022-03-17 06:15:22,838 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:15:22,838 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:15:22,838 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486922.8387668, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:15:22,838 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:15:22,838 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:15:34,407 DEBUG    client.py Создан объект parser
2022-03-17 06:15:34,407 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:15:34,407 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:15:34,407 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647486934.4070084, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:15:34,407 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:15:34,407 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:25:39,643 DEBUG    client.py Создан объект parser
2022-03-17 06:25:39,643 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:25:39,643 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:25:39,643 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647487539.6437974, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:25:39,643 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:25:39,643 INFO     client.py Принят ответ от server 200 : OK
2022-03-17 06:26:03,076 DEBUG    client.py Создан объект parser
